"","biogeographical_zone","LC","VU","EN","CR","Total","RLIE"
"1","Total",2,12,7,1,22,0.536363636363636
"2","Tropical",0,1,0,0,1,0.6
"3","SubTrop",0,3,2,1,6,0.466666666666667
"4","WTemp",2,5,0,0,7,0.657142857142857
"5","CTemp",0,3,5,0,8,0.475
