"","biogeographical_zone","LC","VU","EN","CR","Total"
"1","Total",17,814,1134,28,1993
"2","Tropical",0,82,0,0,82
"3","SubTrop",0,149,926,28,1103
"4","WTemp",17,425,0,0,442
"5","CTemp",0,158,208,0,366
